BHK,price,per_month_emi,total_sqft,latitude,longitude
1,30,15.89,650,19.94749,73.76139
2,55,29.13,1400,19.94627,73.76387
1,16,8.47,640,19.97743,73.8423
2,30,15.89,780,19.97945,73.78963
2,65,34.42,2100,19.96758,73.7829
2,23,12.18,880,19.95531,73.84089
3,60,31.77,1405,19.94749,73.76139
2,50,26.48,980,19.96311,73.77113
3,70,37.07,2100,20.0335,73.72764
3,55,29.13,1253,19.96758,73.7829
1,18.5,9.8,600,20.01233,73.81458
2,40,21.18,1140,19.97693,73.79817
2,43,22.77,853,19.94749,73.76139
2,33,17.48,853,19.94749,73.76139
2,35,18.53,850,19.99418543,73.79021858
1,25,13.24,550,19.98264,73.78627
3,50,26.48,1140,19.97594,73.82971
1,36,19.06,700,19.94625,73.8147
1,27,14.3,567,19.94749,73.76139
1,18,9.53,455,20.05232,73.80252
1,27,14.3,567,19.94749,73.76139
4,134,66.53,2671,20.01486,73.71893
1,27,14.3,567,19.94749,73.76139
2,46,24.36,580,20.00326,73.70924
1,24,12.71,560,19.98869,73.77717
1,21,11.12,635,19.95364,73.7693
3,48,25.42,1200,19.95931,73.77976
1,20,10.59,450,19.98858,73.71576
2,37,19.59,1200,19.94534,73.74791
0,15,7.94,430,19.95531,73.84089
1,16,8.47,419,19.97946,73.70883
2,32,16.95,944,19.98148384,73.74867589
1,20,10.59,500,19.96119,73.74556
2,30,15.89,880,19.95104,73.75699
1,17,9,625,19.99773,73.70757
3,100,49.65,1000,19.98869,73.77717
3,65,34.42,1847,19.84369,73.99385
2,40,21.18,920,19.95931,73.77976
2,33,17.48,1250,19.99066,73.78871
3,60.35,31.96,1480,19.94749,73.76139
3,60.35,31.96,1480,19.94749,73.76139
2,45.5,24.09,1087,19.94749,73.76139
1,25,13.24,600,20.46043,74.19353
4,85,42.2,1750,19.9832,73.77883
3,78,38.72,1500,20.00295,73.77091
2,40,21.18,1068,19.9305322,73.81173403
2,25,13.24,850,19.9305322,73.81173403
1,19,10.06,590,19.9541,73.83208
1,18,9.53,645,19.94749,73.76139
2,48,25.42,1140,19.97319,73.7905
0,15,7.94,410,19.97219,73.7835
3,58,30.71,1305,19.98231,73.77453
1,20,10.59,573,20.01678,73.79665
2,43,22.77,955,20.018,73.75111
1,12.5,6.62,550,19.99975,73.73383
2,48,25.42,1004,19.98181,73.802
2,37,19.59,950,19.96974,73.78127
2,40,21.18,870,20.01277,73.73992
3,50,26.48,1400,19.97219,73.7835
1,40,21.18,465,20.00302,73.77727
1,20,10.59,600,19.96758,73.7829
2,26,13.77,880,19.93284,73.83434
1,18,9.53,691,19.9812625,73.84510532
2,46,24.36,900,20.46043,74.19353
1,10.5,5.56,440,20.01564,73.84458
1,17,9,550,19.97219,73.7835
2,45,23.83,1103,19.99307,73.80571
1,16.5,8.74,650,19.97743,73.8423
2,49,25.95,1068,19.9832,73.77883
1,16,8.47,600,19.95146,73.84069
1,18,9.53,698,20.02679,73.80024
3,55,29.13,1135,19.96758,73.7829
1,17,9,550,19.96758,73.7829
2,23,12.18,980,20.03357,73.78424
3,60,31.77,1137,19.95364,73.7693
4,275,0,3600,20.01277,73.73992
2,38.5,20.39,960,20.01083,73.74738
2,25,13.24,825,19.95153,73.76944
2,36,19.06,934,19.99307,73.80571
2,40,21.18,940,20.00263,73.74944
3,100,49.65,2500,19.97811,73.79962
1,14,7.41,600,19.97805,73.83652
2,50,26.48,995,20.00763,73.76362
